timestamp,value
"2016-11-14 23:44:32",1.20
"2016-11-14 23:49:34",1.20
"2016-11-14 23:54:38",1.28
"2016-11-14 23:59:40",1.28
"2016-11-15 00:04:42",1.44
"2016-11-15 07:38:40",2.08
"2016-11-15 07:43:44",2.24
"2016-11-15 07:48:46",2.32
"2016-11-15 07:53:48",2.40
"2016-11-15 07:58:52",2.24
